data,horario,tbs,umidade,globo metalico,globo plastico,itgu,itu,orvalho
2021-02-25,14:30:00,34.21,38.68,33.88,34.5,81.91488325643721,82.5348832564372,81.58,18.152453490103326
2021-02-25,14:40:00,34.76,36.87,35.13,35.5,83.06559623069066,83.43559623069066,81.87,17.87665619636296
2021-02-25,14:50:00,33.85,38.91,34.63,35.0,82.58377263809476,82.95377263809475,81.19,17.927146216929856
2021-02-25,15:00:00,33.72,39.28,34.31,35.0,82.27635162474624,82.96635162474624,81.11,17.962087846517345
2021-02-25,15:10:00,32.99,41.48,33.69,34.5,81.73406675475721,82.54406675475721,80.63,18.177963207658912
2021-02-25,15:20:00,32.28,42.56,32.75,33.5,80.71204213085038,81.46204213085038,79.96,17.950117030139932
2021-02-25,15:30:00,33.15,39.83,32.88,33.5,80.74319723363183,81.36319723363184,80.53,17.675547871199537
2021-02-25,15:40:00,32.55,41.44,32.81,33.5,80.70668266605398,81.39668266605398,80.09,17.768562961261047
2021-02-25,15:50:00,32.9,40.45,32.75,33.5,80.62116516380354,81.37116516380354,80.34,17.697681010565372
2021-02-25,16:00:00,32.72,39.84,33.06,33.5,80.78667547447543,81.22667547447543,80.01,17.296320762431748
2021-02-25,16:10:00,32.56,41.07,32.56,33.5,80.40866082645388,81.34866082645388,80.04,17.635168962371917
2021-02-25,16:20:00,32.78,40.77,32.38,33.0,80.25759948215679,80.8775994821568,80.26,17.715554117102215
2021-02-25,16:50:00,32.01,42.36,31.81,33.0,79.65778570099738,80.84778570099738,79.6,17.632738058326044
2021-02-25,16:50:00,31.86,43.23,31.81,33.0,79.72540457484985,80.91540457484984,79.56,17.820568263471774
2021-02-25,17:00:00,35.34,35.79,34.5,37.5,82.44931176243028,85.44931176243028,82.33,17.914754895639657
2021-02-25,17:10:00,35.12,36.26,37.25,40.0,85.20432829306242,87.95432829306242,82.17,17.928689702951143
2021-02-25,17:20:00,34.3,38.19,36.81,39.5,84.80055476060868,87.49055476060867,81.59,18.029318779468532
2021-02-25,17:30:00,31.13,46.08,34.06,37.0,82.10342553355335,85.04342553355335,79.13,18.176182037648182
2021-02-25,17:40:00,30.11,50.02,30.56,32.5,78.73953737767303,80.67953737767303,78.45,18.554270493536176
2021-02-25,17:50:00,29.62,51.84,29.25,30.5,77.47301616994854,78.72301616994854,78.08,18.675044916523706
2021-02-25,18:00:00,29.32,53.96,28.75,29.5,77.104309019947,77.854309019947,78.0,19.03974727763054
2021-02-25,18:10:00,28.82,57.02,28.25,29.0,76.75598231237161,77.50598231237161,77.75,19.461061978810044
2021-02-25,18:20:00,28.57,58.99,27.81,28.5,76.42882777113013,77.11882777113013,77.69,19.77452158647257
2021-02-25,18:30:00,28.15,61.62,27.56,28.5,76.29037498240262,77.23037498240262,77.46,20.08437495111842
2021-02-25,18:40:00,27.9,63.08,27.25,28.0,76.03185413861786,76.78185413861786,77.31,20.227372607271807
2021-02-25,18:50:00,27.64,64.56,27.0,27.5,75.82850553572325,76.32850553572325,77.12,20.356959821453476
2021-02-25,19:00:00,27.38,65.21,26.75,27.5,75.54820948011141,76.29820948011141,76.83,20.272804111420566
2021-02-25,19:10:00,27.08,66.73,26.5,27.0,75.32997157926846,75.82997157926846,76.58,20.36103216463461
2021-02-25,19:20:00,26.94,67.28,26.19,27.0,75.01988458472026,75.82988458472026,76.44,20.360790513111834
2021-02-25,19:30:00,26.75,67.85,26.0,26.5,74.81392548597793,75.31392548597793,76.23,20.316459683272015
